User Id,Partner User Id,coop_index
344,346,0
346,344,0
349,416,1
416,349,1
410,444,2
444,410,2
358,456,1
456,358,1
442,443,1
443,442,1
475,363,2
363,475,2
394,418,1
418,394,1
474,360,2
360,474,2
365,355,0
355,365,0
448,479,1
479,448,1
476,371,1
371,476,1
478,417,2
417,478,2
406,409,0
409,406,0
480,407,0
407,480,0
445,396,0
396,445,0
383,384,1
384,383,1
404,393,1
393,404,1
381,378,0
376,387,1
387,376,1
378,381,0
482,399,0
399,482,0
391,450,0
401,374,1
450,391,0
447,449,0
374,401,1
449,447,0
402,389,0
389,402,0
397,373,0
373,397,0
481,483,0
483,481,0
403,FALSE,0
385,403,0
2,FALSE,0
