User Id,Start date,End date,Duration,Attempts,Grade,Response 1
346,11:48:51 19/12/2016,01:00:00 01/01/1970,,-1,,
349,09:26:25 20/12/2016,09:36:10 20/12/2016,585,0,, 
410,09:26:30 20/12/2016,09:40:47 20/12/2016,857,1,0, 12 cm2
358,09:26:31 20/12/2016,09:34:47 20/12/2016,496,1,0, pa q quiere saber eso jaja salu2
443,09:26:33 20/12/2016,09:43:02 20/12/2016,989,0,, 
475,09:26:37 20/12/2016,09:44:03 20/12/2016,1046,1,0, 41
474,09:26:41 20/12/2016,09:31:15 20/12/2016,274,1,0, 100
394,09:26:43 20/12/2016,09:36:47 20/12/2016,604,1,0, 72
365,09:26:45 20/12/2016,09:34:19 20/12/2016,454,1,0, 2cm
448,09:26:48 20/12/2016,09:35:28 20/12/2016,520,1,0, 76
476,09:26:53 20/12/2016,09:47:47 20/12/2016,1254,1,0, 48 centímetres quadrats
478,09:26:58 20/12/2016,09:32:44 20/12/2016,346,1,0, 144
406,09:27:04 20/12/2016,09:37:45 20/12/2016,641,1,0, L'àrea de la regió pinta de ABCD és 8
480,09:27:26 20/12/2016,09:47:49 20/12/2016,1223,1,0," 5,12cm"
383,09:28:24 20/12/2016,09:31:57 20/12/2016,213,1,0, 88 metres quadrats
445,09:28:27 20/12/2016,09:44:10 20/12/2016,943,1,0, 48 cm
404,09:28:27 20/12/2016,09:50:34 20/12/2016,1327,1,0, 144 cm quadrats
387,09:28:36 20/12/2016,09:41:50 20/12/2016,794,1,0, 60
391,09:28:37 20/12/2016,09:49:45 20/12/2016,1268,1,0, 144
381,09:28:38 20/12/2016,09:50:53 20/12/2016,1335,1,0, 75
401,09:28:42 20/12/2016,09:49:32 20/12/2016,1250,1,0, 144
399,09:28:44 20/12/2016,09:49:00 20/12/2016,1216,1,0, 88
447,09:28:58 20/12/2016,09:42:32 20/12/2016,814,1,0, 42 cm2
402,09:29:20 20/12/2016,09:47:09 20/12/2016,1069,1,0, 48
397,09:30:11 20/12/2016,09:31:44 20/12/2016,93,1,0, 144
481,09:37:16 20/12/2016,09:47:44 20/12/2016,628,0,, 
403,09:46:10 20/12/2016,09:51:31 20/12/2016,321,0,, 
