User Id,Start date,End date,Duration,Attempts,Grade,Response 1
344,11:46:21 19/12/2016,11:46:24 19/12/2016,3,1,0,23
447,09:03:59 20/12/2016,09:04:12 20/12/2016,13,1,0,6
478,09:06:26 20/12/2016,09:06:43 20/12/2016,17,1,0,6
378,09:06:45 20/12/2016,09:07:01 20/12/2016,16,1,0,6
482,09:07:22 20/12/2016,09:07:57 20/12/2016,35,1,0,20
391,09:09:02 20/12/2016,09:09:41 20/12/2016,39,1,0,10
358,09:09:31 20/12/2016,09:10:58 20/12/2016,87,1,0,24
475,09:09:44 20/12/2016,09:09:59 20/12/2016,15,1,0,34
383,09:09:56 20/12/2016,09:10:20 20/12/2016,24,1,0,12
373,09:10:12 20/12/2016,09:12:12 20/12/2016,120,1,0,28
410,09:10:14 20/12/2016,09:10:50 20/12/2016,36,1,0,6
417,09:11:11 20/12/2016,09:11:44 20/12/2016,33,1,0,20
416,09:11:32 20/12/2016,09:13:02 20/12/2016,90,1,0,20
418,09:11:41 20/12/2016,09:12:27 20/12/2016,46,1,0,20
387,09:11:54 20/12/2016,09:13:44 20/12/2016,110,1,0,36
404,09:12:46 20/12/2016,09:15:38 20/12/2016,172,1,0,36
450,09:13:07 20/12/2016,09:15:58 20/12/2016,171,1,0,28
407,09:13:34 20/12/2016,09:14:17 20/12/2016,43,1,0,1q2
401,09:13:36 20/12/2016,09:14:13 20/12/2016,37,1,0,6
376,09:14:20 20/12/2016,09:15:04 20/12/2016,44,1,0,24
442,09:14:23 20/12/2016,09:15:03 20/12/2016,40,1,0,6
406,09:14:31 20/12/2016,09:15:25 20/12/2016,54,1,0,24
476,09:14:48 20/12/2016,09:16:40 20/12/2016,112,1,0,20 cubs
444,09:15:05 20/12/2016,09:18:38 20/12/2016,213,1,0,20
355,09:15:07 20/12/2016,09:16:26 20/12/2016,79,1,0,20
363,09:15:07 20/12/2016,09:15:53 20/12/2016,46,1,0,6
399,09:15:15 20/12/2016,09:16:16 20/12/2016,61,1,0,16
448,09:15:18 20/12/2016,09:15:30 20/12/2016,12,1,0,6
394,09:16:04 20/12/2016,09:16:27 20/12/2016,23,1,0,12
393,09:16:40 20/12/2016,09:16:58 20/12/2016,18,1,0,6
443,09:17:20 20/12/2016,09:18:09 20/12/2016,49,1,0,20
374,09:17:21 20/12/2016,09:18:40 20/12/2016,79,1,0,14
371,09:17:27 20/12/2016,09:19:19 20/12/2016,112,1,0,20
396,09:17:30 20/12/2016,09:18:15 20/12/2016,45,1,0,20
360,09:17:31 20/12/2016,09:20:12 20/12/2016,161,1,0,22
445,09:17:37 20/12/2016,09:18:33 20/12/2016,56,1,0,20
456,09:18:41 20/12/2016,09:20:20 20/12/2016,99,1,0,20
479,09:19:21 20/12/2016,09:20:14 20/12/2016,53,1,0,20
480,09:20:05 20/12/2016,09:20:38 20/12/2016,33,1,0,6
409,09:21:02 20/12/2016,09:22:23 20/12/2016,81,1,0,20
349,09:21:18 20/12/2016,09:23:32 20/12/2016,134,1,0,20
474,09:21:19 20/12/2016,09:22:04 20/12/2016,45,1,0,24
381,09:21:26 20/12/2016,09:22:11 20/12/2016,45,1,0,20
365,09:21:56 20/12/2016,09:22:19 20/12/2016,23,1,0,12
402,09:22:32 20/12/2016,09:23:02 20/12/2016,30,1,0,9
397,09:22:33 20/12/2016,09:24:08 20/12/2016,95,1,0,10
384,09:23:09 20/12/2016,09:24:11 20/12/2016,62,1,0,20
389,09:26:55 20/12/2016,09:28:14 20/12/2016,79,1,0,24
481,09:35:12 20/12/2016,09:36:35 20/12/2016,83,1,0,14
483,09:35:16 20/12/2016,09:37:03 20/12/2016,107,1,0,14
403,09:36:12 20/12/2016,09:37:27 20/12/2016,75,1,0,10
385,09:44:27 20/12/2016,09:45:52 20/12/2016,85,1,0,20
