User Id,Start date,End date,Duration,Attempts,Grade,Response 1
344,11:44:22 19/12/2016,11:44:32 19/12/2016,10,0,0.05,123
378,08:58:20 20/12/2016,08:59:04 20/12/2016,44,1,0.05,28224
482,08:58:41 20/12/2016,09:00:22 20/12/2016,101,0,1,8066
373,09:00:06 20/12/2016,09:02:08 20/12/2016,122,0,1,8066
358,09:00:10 20/12/2016,09:01:28 20/12/2016,78,0,1,8066
391,09:00:10 20/12/2016,09:02:10 20/12/2016,120,1,0.05,20150
450,09:00:17 20/12/2016,09:02:17 20/12/2016,120,0,1,8066
401,09:00:26 20/12/2016,09:06:28 20/12/2016,362,0,0.05,8108
383,09:00:47 20/12/2016,09:02:30 20/12/2016,103,0,0.05,20150
475,09:01:10 20/12/2016,09:01:24 20/12/2016,14,1,,
404,09:01:25 20/12/2016,09:03:59 20/12/2016,154,0,1,8066
387,09:01:42 20/12/2016,09:02:50 20/12/2016,68,0,1,8066
418,09:01:57 20/12/2016,09:04:00 20/12/2016,123,0,1,8066
376,09:02:10 20/12/2016,09:05:44 20/12/2016,214,0,1,8066
374,09:02:34 20/12/2016,09:04:38 20/12/2016,124,0,0.05,8064
416,09:02:36 20/12/2016,09:04:49 20/12/2016,133,0,1,8066
393,09:02:41 20/12/2016,09:05:06 20/12/2016,145,0,0.05,8070
442,09:02:49 20/12/2016,09:05:44 20/12/2016,175,0,0.05,20150
397,09:02:49 20/12/2016,09:06:18 20/12/2016,209,0,0.05,8640
417,09:02:56 20/12/2016,09:03:42 20/12/2016,46,1,0.05,8078
448,09:03:17 20/12/2016,09:07:34 20/12/2016,257,1,0.05,10130
407,09:03:45 20/12/2016,09:05:19 20/12/2016,94,0,1,8066
406,09:04:13 20/12/2016,09:06:28 20/12/2016,135,0,0.05,12096
399,09:04:24 20/12/2016,09:05:40 20/12/2016,76,0,1,8066
384,09:04:41 20/12/2016,09:05:53 20/12/2016,72,1,1,8066
363,09:04:44 20/12/2016,09:05:58 20/12/2016,74,0,1,8066
360,09:04:48 20/12/2016,09:07:51 20/12/2016,183,0,1,8066
355,09:05:29 20/12/2016,09:06:23 20/12/2016,54,0,1,8066
444,09:05:40 20/12/2016,09:06:35 20/12/2016,55,0,1,8066
479,09:05:51 20/12/2016,09:07:32 20/12/2016,101,0,1,8066
445,09:05:58 20/12/2016,09:08:03 20/12/2016,125,0,1,8066
409,09:06:00 20/12/2016,09:08:40 20/12/2016,160,0,0.05,9408
371,09:06:06 20/12/2016,09:08:10 20/12/2016,124,0,1,8066
394,09:06:16 20/12/2016,09:08:28 20/12/2016,132,1,0.05,20170
456,09:06:39 20/12/2016,09:07:54 20/12/2016,75,0,1,8066
476,09:06:41 20/12/2016,09:07:49 20/12/2016,68,0,1,8066
443,09:07:13 20/12/2016,09:08:59 20/12/2016,106,0,0.05,8052
396,09:07:15 20/12/2016,09:08:16 20/12/2016,61,0,1,8066
474,09:07:58 20/12/2016,09:09:27 20/12/2016,89,0,1,8066
349,09:09:28 20/12/2016,09:13:17 20/12/2016,229,0,0.05,8064
381,09:09:49 20/12/2016,09:13:30 20/12/2016,221,0,0.05,9408
402,09:10:23 20/12/2016,09:12:48 20/12/2016,145,0,0.05,336
447,09:11:32 20/12/2016,09:13:39 20/12/2016,127,0,0.05,144
365,09:12:20 20/12/2016,09:14:27 20/12/2016,127,0,1,8066
410,09:13:24 20/12/2016,09:14:57 20/12/2016,93,0,1,8066
449,09:14:49 20/12/2016,09:15:55 20/12/2016,66,0,1,8066
389,09:16:09 20/12/2016,09:18:39 20/12/2016,150,1,0.05,8060
403,09:16:47 20/12/2016,09:19:24 20/12/2016,157,1,0.05,8054
481,09:17:54 20/12/2016,09:19:19 20/12/2016,85,0,1,8066
483,09:21:52 20/12/2016,09:22:12 20/12/2016,20,0,1,8066
385,09:36:43 20/12/2016,09:37:58 20/12/2016,75,0,1,8066
