User Id,Start date,End date,Duration,Attempts,Grade,Response 1,4X+2,4X+6,(X-3)4 + 14,resposta única i malament,no sap,Bé,Casi bé,Malament
344,11:44:35 19/12/2016,11:44:43 19/12/2016,8,1,,123,,,,1,,0,0,1
378,08:59:07 20/12/2016,08:59:36 20/12/2016,29,1,,14xnombre de rajoles,,,,1,,0,0,1
482,09:00:26 20/12/2016,09:01:37 20/12/2016,71,1,,4 rajoles x numero de jardineres + 2 rajoles,1,,,,,1,0,0
358,09:01:32 20/12/2016,09:02:20 20/12/2016,48,1,,4 x Nombre  de rajoles + 2,1,,,,,1,0,0
373,09:02:14 20/12/2016,09:03:29 20/12/2016,75,1,,6+4x,,1,,,,0,1,0
391,09:02:15 20/12/2016,09:03:12 20/12/2016,57,1,,6+4·x,,1,,,,0,1,0
450,09:02:23 20/12/2016,09:08:20 20/12/2016,357,1,,"Primera jardinera=6 rajoles (sempre)

Qualsevols jardinera següent=+4 rajoles

ex: 15 jardineres= 6(primera jardinera)+4+4+4+4+4+4+4+4+4+4+4+4+4+4= 62 rajoles

",1,,,,,1,0,0
383,09:02:34 20/12/2016,09:03:27 20/12/2016,53,1,,"no ho se
",,,,,1,0,0,1
387,09:02:53 20/12/2016,09:05:28 20/12/2016,155,1,,"El primer que has de fer, és veure quantes rajoles et demanan (X).

A continuació multiplicar-ho per 4. 

Finament sumar 2

Fórmula : X * 4 + 2",1,,,,,1,0,0
417,09:03:50 20/12/2016,09:04:47 20/12/2016,57,1,,x · 4 + 14,,,,1,,0,0,1
404,09:04:04 20/12/2016,09:06:52 20/12/2016,168,1,,"Al nombre de jardineres li restem 3. Aleshores multipliquem el nombre que hem obtingut per 4, que són les rajoles que necessitem per jardinera. Llavors sumem 14 al nombre que hem obtingut de la multiplicació perquè són les rajoles inicials.",,,1,,,0,0,1
418,09:04:07 20/12/2016,09:06:17 20/12/2016,130,1,,"Com hem vist en els problemes anteriors el procediment és el mateix.

Al principi contem 6 rajoles del primer arbre, i després contem 4 pels arbres restants.

La formula seria 6+4x",1,,,,,1,0,0
374,09:04:44 20/12/2016,09:08:15 20/12/2016,211,1,,"	* _4 rajoles · X nombre de jardineres+2 _

",1,,,,,1,0,0
416,09:04:54 20/12/2016,09:06:50 20/12/2016,116,1,,"La fórmula seria:

(Nombre de rajoles · 4) + 2",1,,,,,1,0,0
393,09:05:12 20/12/2016,09:05:29 20/12/2016,17,0,,,,,,,1,0,0,1
407,09:05:22 20/12/2016,09:05:47 20/12/2016,25,1,,no,,,,,1,0,0,1
