User Id,Start date,End date,Duration,Q01_Pregunta 1,Q02_Pregunta 1 (2),Q03_Pregunta 2,Q04_Pregunta 2 (2),Q05_Pregunta 3,Q06_Pregunta 3 (2),Q07_Pregunta 4,Q08_Pregunta 4 (2)
344,11:25:46 19/12/2016,11:30:41 19/12/2016,295,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",També molt identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,També molt identificat
450,08:42:02 20/12/2016,08:51:50 20/12/2016,588,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
447,08:42:29 20/12/2016,08:50:43 20/12/2016,494,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Gens identificat
376,08:41:15 20/12/2016,08:52:52 20/12/2016,697,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
399,08:42:44 20/12/2016,08:53:39 20/12/2016,655,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
383,08:44:13 20/12/2016,08:51:44 20/12/2016,451,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
378,08:42:59 20/12/2016,08:51:57 20/12/2016,538,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
387,08:42:26 20/12/2016,08:52:29 20/12/2016,603,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
482,08:43:47 20/12/2016,08:51:54 20/12/2016,487,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
373,08:42:05 20/12/2016,08:52:11 20/12/2016,606,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
418,08:43:49 20/12/2016,08:52:06 20/12/2016,497,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
391,08:42:31 20/12/2016,08:52:21 20/12/2016,590,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
401,08:41:50 20/12/2016,08:53:15 20/12/2016,685,Sóc responsable del que em passa a mi,També molt identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
404,08:41:59 20/12/2016,08:53:52 20/12/2016,713,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,També molt identificat
