User Id,Start date,End date,Duration,Q01->1. Em resulta fàcil parlar dels meus sentiments amb els altres,Q01->2. Sovint em costa veure les coses des del punt de vista de l’altra persona,"Q01->3. En general, sóc una persona altament motivada",Q01->4. Em costa controlar els meus sentiments,Q01->5. La meva vida no és agradable,Q02->6. No em porto bé amb els meus companys de classe,"Q02->7. Sovint, canvio d’opinió",Q02->8. Em costa saber amb exactitud quina emoció estic sentint,Q02->9. M’agrada la meva aparença,Q02->10. M’és complicat defensar els meus drets,"Q03->11. Quan vull, puc fer que els altres es sentin bé",Q03->12. A vegades penso que tota la meva vida serà un “desastre”,Q03->13. A vegades penso que els altres es queixen que els tracto malament,Q03->14. És difícil per mi afrontar els canvis a la meva vida,"Q03->15. Sóc capaç de controlar l’estrès (l’ansietat, el nerviosisme, etc.)",Q04->16. Em costa mostrar a les persones pròximes que em preocupo per elles,Q04->17. Sóc capaç de posar-me en el lloc de l’altra persona i sentir les seves emocions,Q04->18. Em costa mantenir-me motivat o motivada,"Q04->19. Quan vull, puc controlar el meu enuig",Q04->20. Sóc feliç amb la meva vida,Q05->21. Em veig com un bon negociador o una bona negociadora,Q05->22. Algunes vegades m’implico en coses que més tard me’n penedeixo,Q05->23. Poso molta atenció als meus sentiments,Q05->24. Em sento bé amb mi mateix o mateixa,"Q05->25. Tendeixo a cedir, fins i tot quan sé que tinc raó",Q06->26. Sóc incapaç de canviar els sentiments dels altres,Q06->27. Penso que les coses m’aniran bé a la vida,Q06->28. Algunes vegades m'agradaria tenir una relació millor amb els meus pares,Q06->29. Sóc capaç d’adaptar-me bé a ambients nous,Q06->30. Intento controlar els meus pensaments i no preocupar-me massa sobre les coses
344,11:25:46 19/12/2016,11:43:18 19/12/2016,1052,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1
447,08:42:29 20/12/2016,08:54:53 20/12/2016,744,3,3,5,1,1,1,3,1,5,5,6,1,1,2,5,2,4,2,4,6,5,5,3,7,2,3,6,1,5,6
383,08:44:13 20/12/2016,08:55:23 20/12/2016,670,6,5,5,5,1,2,4,4,7,4,5,2,2,4,5,1,4,2,4,7,3,3,4,7,4,4,6,5,5,4
378,08:42:59 20/12/2016,08:55:57 20/12/2016,778,6,2,4,7,1,1,2,5,5,1,6,1,1,1,2,1,2,6,3,7,6,1,2,6,1,1,7,1,6,4
450,08:42:02 20/12/2016,08:56:16 20/12/2016,854,2,6,6,3,2,1,2,3,4,2,6,4,1,2,2,4,3,2,6,6,5,3,4,6,2,5,4,2,4,5
391,08:42:31 20/12/2016,08:56:53 20/12/2016,862,6,5,7,3,1,1,3,4,7,2,7,5,2,4,4,2,6,2,4,6,6,3,5,6,2,2,5,5,6,5
482,08:43:47 20/12/2016,08:55:26 20/12/2016,699,3,1,7,4,1,1,6,3,5,1,4,1,1,2,6,2,2,2,5,7,7,7,5,7,1,2,6,7,6,6
373,08:42:05 20/12/2016,08:57:46 20/12/2016,941,5,4,7,6,5,4,6,4,5,2,6,2,3,2,3,2,5,2,6,5,6,5,3,4,2,3,6,6,5,3
387,08:42:26 20/12/2016,08:57:11 20/12/2016,885,6,2,5,3,1,1,5,3,7,2,6,2,2,4,6,2,6,2,6,6,4,4,6,6,6,6,6,1,6,3
393,08:41:15 20/12/2016,08:57:53 20/12/2016,998,4,4,4,4,3,1,2,4,4,4,4,4,3,3,3,3,3,3,3,5,3,3,3,4,3,4,4,7,4,4
418,08:43:49 20/12/2016,08:57:19 20/12/2016,810,6,2,6,1,1,1,3,2,7,2,5,1,2,2,7,2,6,1,6,7,6,5,4,7,2,3,6,4,7,4
401,08:41:50 20/12/2016,08:57:11 20/12/2016,921,4,4,5,4,2,1,3,2,5,2,5,2,2,3,3,2,3,3,4,6,5,3,3,7,4,3,6,1,5,5
448,08:43:53 20/12/2016,08:57:39 20/12/2016,826,3,2,6,2,1,5,7,2,4,5,6,2,1,2,3,2,4,5,2,6,5,6,2,5,1,3,5,1,6,2
376,08:41:15 20/12/2016,08:56:36 20/12/2016,921,3,3,3,5,4,3,4,2,3,4,4,3,4,4,3,4,3,4,4,4,2,3,4,5,4,4,4,4,3,3
