User Id,Start date,End date,Duration,Q01->1. Les noves idees i nous projectes algunes vegades em distreuen dels anteriors,Q01->2. Els contratemps (endarreriments i obstacles) no em desanimen. Em recupero de les decepcions més ràpid que la majoria de gent,Q01->3. M’obsessiono amb una idea o projecte per un curt període de temps però després perdo l’interès,Q01->4. Sóc molt treballador o treballadora,Q01->5. Algunes vegades em marco un objectiu però després decideixo perseguir-ne un de diferent,Q01->6. Tinc dificultats per mantenir la meva concentració amb projectes que duren uns quants mesos,Q01->7. Acabo tot el que començo,Q01->8. Sóc diligent (molt treballador i curós amb el que faig)
344,11:44:45 19/12/2016,11:45:03 19/12/2016,18,1,1,4,2,3,3,1,1
447,08:58:36 20/12/2016,08:59:46 20/12/2016,70,2,4,2,2,3,2,3,2
378,08:59:38 20/12/2016,09:01:21 20/12/2016,103,3,2,3,4,4,3,3,3
475,09:01:27 20/12/2016,09:02:30 20/12/2016,63,2,3,5,3,4,4,2,3
478,09:01:14 20/12/2016,09:02:30 20/12/2016,76,3,2,1,3,4,3,1,2
482,09:01:40 20/12/2016,09:02:32 20/12/2016,52,3,2,4,4,2,4,4,5
383,09:03:32 20/12/2016,09:04:46 20/12/2016,74,3,3,4,3,3,3,3,4
358,09:02:25 20/12/2016,09:05:15 20/12/2016,170,2,2,5,2,5,5,3,2
373,09:03:39 20/12/2016,09:05:30 20/12/2016,111,2,3,2,5,4,3,4,4
391,09:03:17 20/12/2016,09:05:32 20/12/2016,135,2,2,3,3,2,3,4,3
410,09:04:25 20/12/2016,09:05:43 20/12/2016,78,3,4,2,4,4,2,4,4
417,09:04:52 20/12/2016,09:06:40 20/12/2016,108,3,3,4,4,2,3,2,4
393,09:05:33 20/12/2016,09:07:03 20/12/2016,90,2,2,2,2,3,3,3,1
407,09:05:51 20/12/2016,09:07:19 20/12/2016,88,2,2,3,4,3,2,4,4
387,09:05:31 20/12/2016,09:07:28 20/12/2016,117,2,3,2,4,3,2,3,4
418,09:06:20 20/12/2016,09:07:44 20/12/2016,84,3,4,4,3,2,2,3,4
416,09:06:53 20/12/2016,09:07:59 20/12/2016,66,2,4,2,4,2,1,4,3
406,09:07:14 20/12/2016,09:08:33 20/12/2016,79,3,2,3,4,3,4,4,4
404,09:06:56 20/12/2016,09:08:35 20/12/2016,99,3,3,4,4,4,5,2,3
376,09:07:37 20/12/2016,09:08:39 20/12/2016,62,2,2,3,3,3,3,3,3
442,09:07:12 20/12/2016,09:08:43 20/12/2016,91,3,3,4,4,2,3,5,4
363,09:07:55 20/12/2016,09:09:20 20/12/2016,85,2,2,4,3,3,3,3,3
355,09:07:52 20/12/2016,09:09:30 20/12/2016,98,2,3,3,2,2,2,3,2
450,09:08:23 20/12/2016,09:09:36 20/12/2016,73,3,2,3,5,2,2,5,5
401,09:08:46 20/12/2016,09:09:41 20/12/2016,55,3,2,3,3,3,3,3,2
476,09:09:15 20/12/2016,09:09:59 20/12/2016,44,3,2,3,4,3,3,2,3
444,09:08:55 20/12/2016,09:10:00 20/12/2016,65,3,4,2,5,3,1,4,5
448,09:09:15 20/12/2016,09:10:18 20/12/2016,63,2,2,4,3,3,4,2,2
399,09:09:09 20/12/2016,09:10:49 20/12/2016,100,5,4,4,3,4,3,2,4
394,09:09:15 20/12/2016,09:11:10 20/12/2016,115,3,4,4,4,3,2,3,3
409,09:09:40 20/12/2016,09:11:16 20/12/2016,96,3,3,3,3,3,2,2,2
456,09:09:51 20/12/2016,09:11:24 20/12/2016,93,1,2,3,3,5,3,2,4
360,09:10:23 20/12/2016,09:11:37 20/12/2016,74,2,4,3,4,3,2,4,4
396,09:09:11 20/12/2016,09:11:38 20/12/2016,147,3,2,4,4,4,4,2,2
371,09:10:26 20/12/2016,09:11:41 20/12/2016,75,5,3,4,5,4,2,2,4
374,09:08:21 20/12/2016,09:11:41 20/12/2016,200,3,5,4,3,4,3,4,3
445,09:10:03 20/12/2016,09:12:21 20/12/2016,138,3,4,2,1,2,2,4,4
479,09:10:02 20/12/2016,09:12:29 20/12/2016,147,3,2,1,4,3,4,4,4
443,09:11:48 20/12/2016,09:13:18 20/12/2016,90,2,2,2,4,5,2,1,4
480,09:11:14 20/12/2016,09:13:37 20/12/2016,143,3,3,5,1,5,5,1,1
474,09:13:18 20/12/2016,09:15:10 20/12/2016,112,3,4,2,4,3,3,4,4
402,09:14:46 20/12/2016,09:16:03 20/12/2016,77,4,2,3,2,4,3,2,2
381,09:14:38 20/12/2016,09:16:04 20/12/2016,86,3,3,2,3,3,3,4,3
349,09:14:46 20/12/2016,09:16:19 20/12/2016,93,4,3,4,3,3,4,3,3
384,09:15:02 20/12/2016,09:16:46 20/12/2016,104,4,4,3,5,3,3,4,5
397,09:16:02 20/12/2016,09:17:05 20/12/2016,63,4,3,3,5,3,4,4,5
365,09:16:41 20/12/2016,09:18:17 20/12/2016,96,3,3,2,4,4,3,3,2
449,09:18:04 20/12/2016,09:18:31 20/12/2016,27,2,3,4,2,4,3,4,3
389,09:19:49 20/12/2016,09:21:41 20/12/2016,112,1,4,3,5,2,3,4,4
481,09:27:40 20/12/2016,09:29:13 20/12/2016,93,3,4,5,3,4,5,2,2
483,09:27:28 20/12/2016,09:29:14 20/12/2016,106,3,4,5,3,3,4,4,2
403,09:27:25 20/12/2016,09:29:28 20/12/2016,123,3,2,2,5,3,2,2,4
385,09:39:48 20/12/2016,09:40:40 20/12/2016,52,2,4,3,4,2,2,4,4
