User Id,Partner User Id,Start date,End date,Duration,Attempts,Grade,Num Messages,Response 1,Response 2
295,FALSE,10:14:53 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
2,305,,,,,,0,,
340,295,09:53:50 19/12/2016,09:54:00 19/12/2016,10,-1,,0,,
311,296,12:39:46 19/12/2016,12:48:09 19/12/2016,503,1,0,0, 2x2,
296,311,12:21:50 19/12/2016,12:50:49 19/12/2016,1739,1,0,0,1,136
306,299,12:39:54 19/12/2016,12:52:52 19/12/2016,778,1,0,0,235,
299,306,12:51:10 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
334,339,12:39:58 19/12/2016,12:54:03 19/12/2016,845,1,0,0,2,
333,341,12:28:05 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
339,334,12:34:20 19/12/2016,12:48:02 19/12/2016,822,1,0,0,1,  
341,333,12:39:56 19/12/2016,12:53:26 19/12/2016,810,1,0,0,19,90
320,328,01:04:26 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
300,312,12:21:46 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
328,320,12:39:58 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
312,300,01:03:26 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
302,327,12:35:24 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
327,302,12:40:07 19/12/2016,12:56:53 19/12/2016,1006,1,0,0,17,200
307,336,12:39:20 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
336,307,12:39:45 19/12/2016,12:54:56 19/12/2016,911,1,0,0,13,  nidea
293,330,12:29:31 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
330,293,12:34:08 19/12/2016,12:55:00 19/12/2016,1252,1,0,0,8.5,147.5
329,301,12:39:50 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
301,329,12:39:44 19/12/2016,12:47:33 19/12/2016,469,1,0,0,1,45
318,297,12:38:30 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
297,318,12:40:35 19/12/2016,12:50:17 19/12/2016,582,1,0,0,4,  no ho se
310,291,12:40:00 19/12/2016,12:51:57 19/12/2016,717,1,0,0,1,"  136·3,14"
291,310,12:32:05 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
321,337,12:39:14 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
337,321,12:39:48 19/12/2016,12:46:00 19/12/2016,372,1,0,0,6,3.5
323,326,12:39:37 19/12/2016,01:00:48 19/12/2016,1271,1,0,0, 1cm,"  Honestament, no ho sé. Recenment hem tocat aquest tema, però no hem arribat fins aquí."
326,323,12:32:09 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
314,335,12:39:46 19/12/2016,12:47:44 19/12/2016,478,0,,0, ,  
335,314,12:41:01 19/12/2016,12:51:31 19/12/2016,630,1,0,0,100,
313,324,12:39:49 19/12/2016,12:52:42 19/12/2016,773,1,0,0,16,
324,313,12:39:45 19/12/2016,12:56:14 19/12/2016,989,1,0,0,13,  nose
304,298,12:39:44 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
298,304,12:39:48 19/12/2016,12:54:10 19/12/2016,862,0,,0, ,  
303,294,12:40:02 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
294,303,12:39:48 19/12/2016,01:03:29 19/12/2016,1421,1,0,0,7,235
315,317,12:41:00 19/12/2016,01:00:00 01/01/1970,,-1,,0,,
317,315,12:41:45 19/12/2016,12:57:30 19/12/2016,945,1,0,0," 1,0625 m",  136 m
309,342,12:39:13 19/12/2016,12:41:03 19/12/2016,110,1,0,0,1,24
342,309,12:42:04 19/12/2016,12:47:39 19/12/2016,335,1,0,0,1,24
305,FALSE,12:57:45 19/12/2016,12:57:55 19/12/2016,10,1,0,0,48,
