User Id,Start date,End date,Duration,Attempts,Grade,Response 1
295,10:14:53 19/12/2016,01:00:00 01/01/1970,,-1,,
311,12:39:46 19/12/2016,12:48:09 19/12/2016,503,1,0, 2x2
313,12:39:49 19/12/2016,12:52:42 19/12/2016,773,1,0, 16
306,12:39:54 19/12/2016,12:52:52 19/12/2016,778,1,0, 235
334,12:39:58 19/12/2016,12:54:03 19/12/2016,845,1,0, 2
333,12:40:00 19/12/2016,12:58:49 19/12/2016,1129,1,0, 30
320,01:04:26 19/12/2016,01:00:00 01/01/1970,,-1,,
300,12:40:02 19/12/2016,12:50:56 19/12/2016,654,1,0, 136:7
302,12:40:08 19/12/2016,12:52:49 19/12/2016,761,1,0, 8cm
307,12:40:22 19/12/2016,12:51:49 19/12/2016,687,1,0, 12
293,01:03:01 19/12/2016,01:03:10 19/12/2016,9,1,0, 36
329,12:40:30 19/12/2016,12:56:01 19/12/2016,931,1,0, 48
318,12:40:38 19/12/2016,12:56:11 19/12/2016,933,1,0, ni idea
291,12:40:44 19/12/2016,12:53:18 19/12/2016,754,1,0, 1
321,12:40:53 19/12/2016,12:51:17 19/12/2016,624,1,0, 52 cm^2
335,12:41:01 19/12/2016,12:51:31 19/12/2016,630,1,0, 100
326,12:41:01 19/12/2016,12:50:09 19/12/2016,548,1,0, 26
304,12:41:25 19/12/2016,12:52:42 19/12/2016,677,1,0, 36
303,12:41:29 19/12/2016,01:03:29 19/12/2016,1320,1,0, 2'63
315,12:41:45 19/12/2016,12:57:25 19/12/2016,940,1,0, 56
309,12:42:05 19/12/2016,12:52:22 19/12/2016,617,1,0, 14
305,12:57:45 19/12/2016,12:57:55 19/12/2016,10,1,0, 48
