User Id,Start date,End date,Duration,Attempts,Grade,Response 1
340,09:07:05 19/12/2016,09:07:07 19/12/2016,2,1,0,2
295,09:07:11 19/12/2016,09:07:15 19/12/2016,4,1,0,2
324,12:18:12 19/12/2016,12:18:39 19/12/2016,27,1,0,10
301,12:18:36 19/12/2016,12:19:19 19/12/2016,43,1,0,11
329,12:19:27 19/12/2016,12:20:09 19/12/2016,42,1,0,20
304,12:20:09 19/12/2016,12:21:08 19/12/2016,59,1,0,16
297,12:20:10 19/12/2016,12:21:02 19/12/2016,52,1,0,8
296,12:20:55 19/12/2016,12:21:42 19/12/2016,47,1,0,6
300,12:21:12 19/12/2016,12:21:38 19/12/2016,26,1,0,6
315,12:21:14 19/12/2016,12:21:30 19/12/2016,16,1,0,6
310,12:21:35 19/12/2016,12:23:50 19/12/2016,135,1,0,14
294,12:23:19 19/12/2016,12:24:24 19/12/2016,65,1,0,12
327,12:23:35 19/12/2016,12:24:12 19/12/2016,37,1,0,11
307,12:24:01 19/12/2016,12:24:43 19/12/2016,42,1,0,12
309,12:24:41 19/12/2016,12:25:30 19/12/2016,49,1,0,9
320,12:25:00 19/12/2016,12:25:47 19/12/2016,47,1,0,8
323,12:25:19 19/12/2016,12:26:37 19/12/2016,78,1,0,20
336,12:26:33 19/12/2016,12:26:50 19/12/2016,17,1,0,6
314,12:26:41 19/12/2016,12:27:28 19/12/2016,47,1,0,16
337,12:26:43 19/12/2016,12:27:42 19/12/2016,59,1,0,15
333,12:27:02 19/12/2016,12:27:53 19/12/2016,51,1,0,10
342,12:28:03 19/12/2016,12:28:34 19/12/2016,31,1,0,12
293,12:28:49 19/12/2016,12:29:24 19/12/2016,35,1,0,20
326,12:29:32 19/12/2016,12:31:55 19/12/2016,143,1,0,12
321,12:29:36 19/12/2016,12:30:36 19/12/2016,60,1,1,18
328,12:30:48 19/12/2016,12:31:32 19/12/2016,44,1,0,10
298,12:30:58 19/12/2016,12:32:10 19/12/2016,72,1,0,6
291,12:31:26 19/12/2016,12:31:54 19/12/2016,28,1,0,6
313,12:31:49 19/12/2016,12:32:27 19/12/2016,38,1,0,6
330,12:32:50 19/12/2016,12:34:01 19/12/2016,71,1,0,9
339,12:33:12 19/12/2016,12:34:14 19/12/2016,62,1,0,11
318,12:34:21 19/12/2016,12:35:08 19/12/2016,47,1,0,8
303,12:34:34 19/12/2016,12:35:19 19/12/2016,45,1,0,12
302,12:34:39 19/12/2016,12:35:17 19/12/2016,38,1,0,10
341,12:36:22 19/12/2016,12:37:22 19/12/2016,60,1,1,18
334,12:37:55 19/12/2016,12:38:21 19/12/2016,26,1,0,7
312,12:38:05 19/12/2016,12:38:46 19/12/2016,41,1,0,20
299,12:38:17 19/12/2016,12:38:37 19/12/2016,20,1,0,6
311,12:38:32 19/12/2016,12:39:15 19/12/2016,43,1,0,10
335,12:39:30 19/12/2016,12:40:25 19/12/2016,55,1,0,12
317,12:39:44 19/12/2016,12:41:22 19/12/2016,98,1,0,20
305,12:41:54 19/12/2016,12:43:17 19/12/2016,83,1,0,10
