User Id,Start date,End date,Duration,Attempts,Grade,Response 1
295,08:58:17 19/12/2016,08:58:28 19/12/2016,11,0,0.05,44
340,09:04:46 19/12/2016,09:04:55 19/12/2016,9,0,0.05,55
301,12:07:23 19/12/2016,12:09:27 19/12/2016,124,0,0.05,32
329,12:07:49 19/12/2016,12:10:22 19/12/2016,153,0,1,30
324,12:09:57 19/12/2016,12:11:29 19/12/2016,92,0,0.05,42
296,12:10:20 19/12/2016,12:11:41 19/12/2016,81,0,1,30
310,12:10:53 19/12/2016,12:12:24 19/12/2016,91,0,1,30
297,12:10:57 19/12/2016,12:11:58 19/12/2016,61,0,0.05,32
304,12:11:07 19/12/2016,12:12:57 19/12/2016,110,0,0.05,28
333,12:11:39 19/12/2016,12:13:29 19/12/2016,110,0,1,30
300,12:12:19 19/12/2016,12:13:15 19/12/2016,56,0,1,30
294,12:12:28 19/12/2016,12:14:01 19/12/2016,93,0,1,30
315,12:12:33 19/12/2016,12:13:20 19/12/2016,47,1,0.05,31
336,12:12:42 19/12/2016,12:13:50 19/12/2016,68,0,1,30
307,12:12:48 19/12/2016,12:14:30 19/12/2016,102,0,0.05,34
320,12:12:56 19/12/2016,12:15:00 19/12/2016,124,0,0.05,32
327,12:13:16 19/12/2016,12:14:18 19/12/2016,62,0,1,30
323,12:13:26 19/12/2016,12:14:58 19/12/2016,92,0,0.05,32
328,12:13:40 19/12/2016,12:14:47 19/12/2016,67,0,1,30
309,12:14:21 19/12/2016,12:15:34 19/12/2016,73,0,0.05,34
337,12:14:23 19/12/2016,12:15:51 19/12/2016,88,0,0.05,4
341,12:14:24 19/12/2016,12:16:04 19/12/2016,100,0,0.05,32
314,12:14:33 19/12/2016,12:16:05 19/12/2016,92,0,0.05,32
342,12:15:06 19/12/2016,12:16:05 19/12/2016,59,0,0.05,32
298,12:15:14 19/12/2016,12:20:19 19/12/2016,305,0,1,30
293,12:15:18 19/12/2016,12:16:41 19/12/2016,83,0,1,30
326,12:16:19 19/12/2016,12:18:00 19/12/2016,101,0,1,30
321,12:17:16 19/12/2016,12:18:54 19/12/2016,98,0,1,30
318,12:17:54 19/12/2016,12:19:24 19/12/2016,90,0,1,30
330,12:18:03 19/12/2016,12:20:02 19/12/2016,119,0,0.05,98
339,12:18:37 19/12/2016,12:21:11 19/12/2016,154,0,1,30
303,12:18:45 19/12/2016,12:21:51 19/12/2016,186,0,1,30
313,12:19:02 19/12/2016,12:20:26 19/12/2016,84,0,0.05,32
312,12:19:33 19/12/2016,12:21:21 19/12/2016,108,0,0.05,32
302,12:21:03 19/12/2016,12:23:45 19/12/2016,162,0,0.05,32
334,12:21:19 19/12/2016,12:23:50 19/12/2016,151,0,1,30
311,12:21:20 19/12/2016,12:25:32 19/12/2016,252,0,0.05,42
317,12:21:55 19/12/2016,12:23:33 19/12/2016,98,0,1,30
306,12:22:33 19/12/2016,12:24:14 19/12/2016,101,0,0.05,32
335,12:23:37 19/12/2016,12:25:16 19/12/2016,99,0,1,30
305,12:27:58 19/12/2016,12:29:50 19/12/2016,112,0,0.05,34
