User Id,Start date,End date,Duration,Attempts,Grade,Response 1,4X+2,4X+6,6+4(X-1),malament,bé,casi bé,malament
295,08:58:41 19/12/2016,08:58:55 19/12/2016,14,1,,Quan hi ha una sumo 4,,,,1,0,0,1
340,09:05:06 19/12/2016,09:05:12 19/12/2016,6,1,,1=2,,,,1,0,0,1
301,12:11:16 19/12/2016,12:12:06 19/12/2016,50,1,,4 · X = X + 2,,,,1,0,0,1
329,12:11:52 19/12/2016,12:12:58 19/12/2016,66,1,,4 pel nombre de jardineres més 2 és a dir: 4x+2,1,,,,1,0,0
324,12:12:04 19/12/2016,12:13:27 19/12/2016,83,1,,"6 · tants cuatres vulguis de rajoles

Si vui 5 rajoles

6 · 5= 30",,,,1,0,0,1
296,12:13:06 19/12/2016,12:14:14 19/12/2016,68,1,,sumar el nombre de rajoles tenin en compte les jardineries que volem fer servir,,,,1,0,0,1
297,12:13:48 19/12/2016,12:14:32 19/12/2016,44,0,,,,,,,0,0,0
310,12:14:08 19/12/2016,12:14:48 19/12/2016,40,1,,X·4 + 2,1,,,,1,0,0
304,12:14:27 19/12/2016,12:15:13 19/12/2016,46,1,,4x + 2,1,,,,1,0,0
315,12:14:57 19/12/2016,12:16:16 19/12/2016,79,1,,4 per el numero de jardineres que volem tapar ja que per envoltar-les s'ha de contar de quatre en quatre,,,,1,0,0,1
327,12:15:17 19/12/2016,12:16:06 19/12/2016,49,1,,no no seria capaç,,,,1,0,0,1
323,12:15:50 19/12/2016,12:20:11 19/12/2016,261,1,,"HEM DE CONTAR QUE LA PRIMERA JARDINERA NECESSITARÀ 6 RAJOLES, I TOTES LES ALTRES 4. 

SI, PER EXEMPLE, EL NOMBRE FOS 106, HAURIEM DE RESTAR-N'HI 1 (106-1=105), DESPRÉS MULTIPLICAR EL RESULTAT PER 4 (105·4=420) I POSTERIORMENT SUMAR-LI 6 DE LA PRIMERA JARDINERA (420+6=426)",,,1,,0,0,0
294,12:15:54 19/12/2016,12:17:34 19/12/2016,100,1,,"Nombre de rajoles= 6 +(4·x)

x = nombre de jardineres",,1,,,0,1,0
320,12:16:01 19/12/2016,12:17:25 19/12/2016,84,1,,4 · (nombre de jardineres que es vulguin envoltar) + 2,1,,,,1,0,0
300,12:16:04 19/12/2016,12:16:21 19/12/2016,17,0,,,,,,,0,0,0
336,12:16:34 19/12/2016,12:18:09 19/12/2016,95,1,,No sabria com escriure una fórmula general,,,,1,0,0,1
309,12:16:35 19/12/2016,12:18:08 19/12/2016,93,1,,Si suma 6+4+4 i despres ho multtiplcas per totes les rejoles que falten,,,,1,0,0,1
307,12:16:36 19/12/2016,12:18:49 19/12/2016,133,0,,,,,,,0,0,0
328,12:17:00 19/12/2016,12:19:27 19/12/2016,147,1,,"Multiplicar el nombre de jardineres per 4 i sumar-li dos

x·4+2

",1,,,,1,0,0
337,12:17:21 19/12/2016,12:18:02 19/12/2016,41,0,,,,,,,0,0,0
333,12:17:23 19/12/2016,12:18:28 19/12/2016,65,1,,Nombre de rajoles= N de jardineres · 4 + 2,1,,,,1,0,0
