User Id,Start date,End date,Duration,Q01_q1->1. M?agrada quedar amb altra gent,Q01_q1->2. Comparteixo les meves coses amb els altres,Q01_q1->3. No s¢c deixat (o deixada) i poso atenci¢ quan faig la meva feina,Q01_q1->4. Em poso nervi¢s (o nerviosa) per coses amb poca import…ncia,Q01_q1->5. S‚ moltes coses,Q02_q2->6. Estic de mal humor,Q02_q2->7. Treballo molt i m'agrada treballar,Q02_q2->8. Discuteixo amb els altres amb entusiasme,Q02_q2->9. M?agrada competir amb els altres,Q02_q2->10. Tinc molta imaginaci¢,Q03_q3->11. Em comporto correctament i honestament amb els altres,Q03_q3->12. Aprenc r…pidament el que estudio a l?escola,Q03_q3->13. S‚ quan els altres necessiten la meva ajuda,Q03_q3->14. M?agrada moure?m i fer molta activitat,Q03_q3->15. M?enfado f…cilment,Q04_q4->16. M?agrada donar regals,Q04_q4->17. Em barallo amb els altres,"Q04_q4->18. Quan el professor o professora pregunta a classe, jo s¢c capa‡ de respondre correctament",Q04_q4->19. M?agrada estar amb altra gent,Q04_q4->20. M?involucro amb les coses que faig,"Q05_q5->21. Si alg£ comet una injust¡cia contra mi, jo el / la perdono","Q05_q5->22. Durant el temps de classe, estic concentrat (o concentrada) amb les coses que faig",Q05_q5->23. Puc dir f…cilment als altres el que penso,Q05_q5->24. M?agrada llegir llibres,"Q05_q5->25. Quan acabo els deures, els repasso moltes vegades per a veure si els he fet correctament",Q06_q6->26. Dic el que penso,Q06_q6->27. Tracto als meus companys amb afecte,Q06_q6->28. Respecto les normes i l?ordre,Q06_q6->29. M?ofenc f…cilment,"Q06_q6->30. Quan el professor o la professora expliquen alguna cosa, jo ho entenc immediatament",Q07_q7->31. Estic trist (o trista),Q07_q7->32. Em comporto amb els altres amb molta generositat,Q07_q7->33. M?agraden els programes de televisi¢ cient¡fics,"Q07_q7->34. Si em comprometo a una cosa, la compleixo",Q07_q7->35. Faig coses per no avorrir-me,Q08_q8->36. M?agrada veure les not¡cies per la televisi¢ i saber quŠ passa al m¢n,Q08_q8->37. La meva habitaci¢ est… en ordre,Q08_q8->38. S¢c educat (o educada) quan parlo amb altres persones,"Q08_q8->39. Si vull fer alguna cosa, no s¢c capa‡ d?esperar-me i l?haig de fer immediatament",Q08_q8->40. M?agrada parlar amb altra gent,Q09_q9->41. S¢c impacient,Q09_q9->42. S¢c capa‡ de convŠncer alg£ sobre el que penso,Q09_q9->43. S¢c capa‡ de crear nous jocs i entreteniments,"Q09_q9->44. Quan comen‡o alguna cosa, sempre l?haig d?acabar","Q09_q9->45. Si un company o companya de classe t‚ alguna dificultat, l?ajudo",Q10_q10->46. Puc solucionar els problemes de  matem…tiques,Q10_q10->47. Confio en la gent,Q10_q10->48. M?agrada tenir les coses de l?escola ordenades,Q10_q10->49. Perdo la calma amb facilitat,"Q10_q10->50. Quan parlo, els altres m?escolten i fan el que els dic",Q11_q11->51. Tracto de manera amable tamb‚ la gent que no m?agrada,Q11_q11->52. M?agrada saber i aprendre noves coses,Q11_q11->53. Jugo nom‚s quan he acabat els deures,Q11_q11->54. Faig les coses amb nerviosisme,Q11_q11->55. M?agrada fer bromes,Q12_q12->56. s poc probable que desvi‹ la meva atenci¢,Q12_q12->57. Faig amics r…pidament,Q12_q12->58. Jo ploro,Q12_q12->59. M?agradaria molt viatjar i conŠixer els costums d?altres pa‹sos,Q12_q12->60. Crec que la gent ‚s bona i honesta,Q13_q13->61. Em preocupo per coses que no tenen import…ncia,Q13_q13->62. Entenc les coses immediatament,Q13_q13->63. S¢c feli‡ i alegre,Q13_q13->64. Deixo als altres utilitzar les meves coses,Q13_q13->65. Faig els meus deures i obligacions
295,08:55:15 19/12/2016,08:56:58 19/12/2016,103,1,1,1,1,1,1,3,3,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1
340,09:01:53 19/12/2016,09:03:10 19/12/2016,77,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
320,11:57:01 19/12/2016,12:03:36 19/12/2016,395,4,4,4,3,4,1,3,1,2,3,5,4,3,5,2,2,1,4,4,4,2,3,4,2,3,3,3,4,2,4,1,2,4,4,5,5,5,4,5,4,3,3,4,4,1,3,3,5,2,1,2,4,3,5,3,3,2,2,5,3,4,3,3,2,4
324,11:57:33 19/12/2016,12:03:49 19/12/2016,376,4,3,5,2,3,2,4,1,2,4,4,3,4,5,3,4,1,2,5,5,3,4,3,3,1,4,5,5,3,4,1,4,1,5,5,4,4,5,3,5,4,2,1,4,5,2,4,5,2,2,1,4,1,1,4,2,4,1,5,4,2,3,4,2,4
296,11:57:36 19/12/2016,12:04:02 19/12/2016,386,5,3,2,1,3,2,3,2,4,2,4,4,5,3,3,2,1,3,5,4,3,3,4,1,1,4,4,3,2,3,2,3,1,4,4,2,1,3,3,4,2,4,2,3,3,2,4,3,3,3,4,3,2,1,4,4,4,2,5,3,2,3,5,4,4
333,11:57:34 19/12/2016,12:03:40 19/12/2016,366,3,2,4,3,4,2,4,3,2,2,4,4,3,3,1,4,1,4,5,5,3,4,2,4,3,1,4,4,4,4,2,4,2,3,5,1,4,5,4,3,4,2,3,2,4,4,2,5,1,2,4,5,3,2,2,3,2,2,5,1,5,4,3,2,4
294,11:58:02 19/12/2016,12:04:24 19/12/2016,382,4,3,4,5,3,1,3,1,3,4,5,3,4,5,3,2,1,3,5,4,3,4,2,3,1,4,5,5,4,3,2,5,3,4,4,1,1,5,5,5,5,4,4,3,4,4,3,2,3,3,5,4,1,5,4,1,4,1,2,3,5,4,5,3,5
336,11:58:04 19/12/2016,12:04:24 19/12/2016,380,3,2,4,1,4,2,4,3,2,5,5,4,3,2,3,2,1,3,2,4,3,4,2,5,2,3,4,5,5,4,2,3,3,4,5,2,2,4,4,3,3,3,2,3,4,3,3,4,2,2,3,4,3,4,3,3,4,4,5,2,2,3,4,3,4
337,11:57:49 19/12/2016,12:05:51 19/12/2016,482,5,3,3,4,2,2,2,1,2,2,3,4,3,4,2,4,2,2,5,3,3,4,2,1,1,2,2,4,3,3,2,3,2,3,4,3,2,4,4,5,4,4,3,4,4,2,4,2,2,2,4,3,1,2,3,2,4,2,4,2,2,3,4,3,3
326,11:57:11 19/12/2016,12:05:45 19/12/2016,514,2,3,3,4,2,1,2,2,1,3,4,2,4,2,2,2,1,2,2,2,2,4,2,1,2,2,3,4,5,2,2,4,1,3,5,1,2,5,3,5,4,5,2,3,2,1,3,3,3,2,2,2,3,4,2,2,2,1,2,3,3,2,2,3,3
318,11:57:35 19/12/2016,12:06:26 19/12/2016,531,4,3,3,2,2,2,1,1,3,4,4,3,4,3,1,2,1,2,5,3,2,1,5,1,1,5,4,3,2,2,1,4,2,4,5,2,1,4,3,5,3,4,2,3,3,3,2,2,5,2,3,3,1,4,5,1,5,2,3,1,2,3,4,4,3
