User Id,Start date,End date,Duration,Q01_Pregunta 1,Q02_Pregunta 1 (2),Q03_Pregunta 2,Q04_Pregunta 2 (2),Q05_Pregunta 3,Q06_Pregunta 3 (2),Q07_Pregunta 4,Q08_Pregunta 4 (2)
295,08:55:15 19/12/2016,08:57:23 19/12/2016,128,Sóc responsable del que em passa a mi,També molt identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
340,09:01:53 19/12/2016,09:03:28 19/12/2016,95,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,També molt identificat
324,11:57:33 19/12/2016,12:05:13 19/12/2016,460,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
320,11:57:01 19/12/2016,12:05:14 19/12/2016,493,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
333,11:57:34 19/12/2016,12:05:23 19/12/2016,469,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,També molt identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
296,11:57:36 19/12/2016,12:05:29 19/12/2016,473,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,També molt identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",També molt identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Una mica identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Gens identificat
297,11:58:24 19/12/2016,12:05:29 19/12/2016,425,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
304,11:57:51 19/12/2016,12:05:44 19/12/2016,473,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
294,11:58:02 19/12/2016,12:06:08 19/12/2016,486,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",També molt identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
336,11:58:04 19/12/2016,12:06:31 19/12/2016,507,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
310,11:58:17 19/12/2016,12:06:23 19/12/2016,486,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
300,11:58:40 19/12/2016,12:06:28 19/12/2016,468,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",També molt identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,També molt identificat
