User Id,Start date,End date,Duration,Q01->1. Em resulta fàcil parlar dels meus sentiments amb els altres,Q01->2. Sovint em costa veure les coses des del punt de vista de l’altra persona,"Q01->3. En general, sóc una persona altament motivada",Q01->4. Em costa controlar els meus sentiments,Q01->5. La meva vida no és agradable,Q02->6. No em porto bé amb els meus companys de classe,"Q02->7. Sovint, canvio d’opinió",Q02->8. Em costa saber amb exactitud quina emoció estic sentint,Q02->9. M’agrada la meva aparença,Q02->10. M’és complicat defensar els meus drets,"Q03->11. Quan vull, puc fer que els altres es sentin bé",Q03->12. A vegades penso que tota la meva vida serà un “desastre”,Q03->13. A vegades penso que els altres es queixen que els tracto malament,Q03->14. És difícil per mi afrontar els canvis a la meva vida,"Q03->15. Sóc capaç de controlar l’estrès (l’ansietat, el nerviosisme, etc.)",Q04->16. Em costa mostrar a les persones pròximes que em preocupo per elles,Q04->17. Sóc capaç de posar-me en el lloc de l’altra persona i sentir les seves emocions,Q04->18. Em costa mantenir-me motivat o motivada,"Q04->19. Quan vull, puc controlar el meu enuig",Q04->20. Sóc feliç amb la meva vida,Q05->21. Em veig com un bon negociador o una bona negociadora,Q05->22. Algunes vegades m’implico en coses que més tard me’n penedeixo,Q05->23. Poso molta atenció als meus sentiments,Q05->24. Em sento bé amb mi mateix o mateixa,"Q05->25. Tendeixo a cedir, fins i tot quan sé que tinc raó",Q06->26. Sóc incapaç de canviar els sentiments dels altres,Q06->27. Penso que les coses m’aniran bé a la vida,Q06->28. Algunes vegades m'agradaria tenir una relació millor amb els meus pares,Q06->29. Sóc capaç d’adaptar-me bé a ambients nous,Q06->30. Intento controlar els meus pensaments i no preocupar-me massa sobre les coses
295,08:55:15 19/12/2016,08:57:50 19/12/2016,155,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1
340,09:01:53 19/12/2016,09:04:29 19/12/2016,156,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
324,11:57:33 19/12/2016,12:08:33 19/12/2016,660,3,6,4,7,1,1,1,1,7,2,4,1,1,1,4,5,4,3,4,7,4,1,6,7,1,4,4,1,3,1
333,11:57:34 19/12/2016,12:10:12 19/12/2016,758,3,2,4,1,2,1,6,7,4,4,5,3,6,5,5,4,3,4,5,6,6,4,3,5,2,5,4,6,5,5
296,11:57:36 19/12/2016,12:09:16 19/12/2016,700,5,5,6,3,1,1,2,1,4,1,6,4,3,1,2,1,7,3,4,7,7,4,6,5,1,6,4,2,6,5
320,11:57:01 19/12/2016,12:09:58 19/12/2016,777,5,2,4,2,2,4,5,2,4,3,7,2,5,3,3,5,5,2,6,6,5,4,6,6,2,2,5,2,6,2
297,11:58:24 19/12/2016,12:08:52 19/12/2016,628,2,4,7,1,1,1,4,1,5,4,7,1,1,1,1,2,5,1,6,7,5,5,2,6,1,4,6,5,5,6
304,11:57:51 19/12/2016,12:09:12 19/12/2016,681,4,4,6,3,1,2,2,3,6,2,7,1,3,3,5,4,4,1,3,7,4,2,4,7,1,2,5,3,4,4
294,11:58:02 19/12/2016,12:10:17 19/12/2016,735,1,1,6,3,1,1,4,6,6,2,6,4,1,6,5,6,5,4,7,6,4,6,3,6,3,2,5,5,4,5
300,11:58:40 19/12/2016,12:09:57 19/12/2016,677,3,4,4,4,1,1,2,2,7,2,6,5,1,4,4,1,5,4,4,7,6,6,5,7,1,3,6,7,2,4
310,11:58:17 19/12/2016,12:09:53 19/12/2016,696,1,1,4,1,1,1,6,5,5,5,5,1,1,1,4,4,4,4,4,4,7,1,5,3,4,1,3,5,7,4
336,11:58:04 19/12/2016,12:11:17 19/12/2016,793,2,5,6,5,4,3,4,5,3,5,5,5,5,4,3,5,6,3,4,4,5,5,4,4,6,3,6,2,6,4
314,11:58:25 19/12/2016,12:11:39 19/12/2016,794,2,1,5,1,3,5,5,6,4,3,7,1,1,6,6,5,7,3,4,6,6,7,5,6,7,2,6,3,5,7
315,11:57:36 19/12/2016,12:11:35 19/12/2016,839,3,5,5,3,1,1,4,3,6,5,5,1,1,4,3,3,4,1,4,7,4,3,4,6,4,4,4,3,6,4
307,11:57:28 19/12/2016,12:11:23 19/12/2016,835,7,2,6,7,3,1,5,6,4,1,5,7,3,7,3,1,5,2,5,6,3,6,6,6,3,4,6,1,4,1
327,11:57:36 19/12/2016,12:12:05 19/12/2016,869,6,4,4,2,1,1,3,6,2,4,4,2,3,3,3,1,2,5,2,6,3,2,4,2,4,2,4,7,2,2
293,11:57:34 19/12/2016,12:12:09 19/12/2016,875,1,4,6,2,1,1,2,5,6,3,7,3,4,6,5,5,5,1,5,7,5,2,1,6,1,6,5,7,7,4
323,11:58:40 19/12/2016,12:12:14 19/12/2016,814,6,2,5,3,1,1,2,4,5,2,6,2,3,5,6,4,5,3,4,7,6,4,5,7,3,2,6,5,6,4
309,11:58:26 19/12/2016,12:12:32 19/12/2016,846,1,4,5,1,1,1,4,5,6,6,4,1,1,4,7,1,1,1,7,7,1,4,3,7,1,7,5,1,4,7
326,11:57:11 19/12/2016,12:13:08 19/12/2016,957,3,4,2,3,2,1,7,6,3,4,4,1,2,3,3,2,5,4,2,6,2,2,7,4,7,7,4,7,4,4
342,11:58:28 19/12/2016,12:12:22 19/12/2016,834,6,2,7,4,1,1,1,3,7,1,7,1,1,1,1,4,4,1,7,7,5,1,5,7,1,5,7,7,5,7
328,11:58:32 19/12/2016,12:12:32 19/12/2016,840,2,4,6,2,1,1,3,2,6,2,6,2,2,3,4,2,5,2,5,7,3,5,4,6,5,7,5,3,4,4
341,11:57:34 19/12/2016,12:12:39 19/12/2016,905,1,3,6,3,3,1,5,3,2,1,6,7,2,7,5,4,5,2,5,6,5,5,2,5,1,2,2,1,3,3
337,11:57:49 19/12/2016,12:12:47 19/12/2016,898,3,2,5,2,1,1,2,6,5,2,4,2,2,4,6,5,6,3,4,7,5,5,4,5,4,1,4,7,6,5
298,11:57:34 19/12/2016,12:13:38 19/12/2016,964,2,3,6,4,1,1,2,4,5,3,7,1,4,5,3,1,7,1,1,7,6,6,3,7,2,4,7,7,7,7
318,11:57:35 19/12/2016,12:15:58 19/12/2016,1103,4,1,6,6,2,2,3,3,5,1,6,2,2,6,6,5,6,1,3,4,7,4,5,5,1,1,1,5,6,4
291,11:58:57 19/12/2016,12:15:12 19/12/2016,975,2,3,6,2,1,2,3,3,6,1,5,3,2,3,7,6,5,2,6,7,7,6,1,7,3,4,6,2,6,4
339,11:58:28 19/12/2016,12:16:47 19/12/2016,1099,1,7,4,2,2,1,2,2,2,4,5,1,1,1,7,6,7,2,4,6,7,1,3,6,6,4,7,7,7,5
330,11:58:23 19/12/2016,12:15:10 19/12/2016,1007,3,2,4,2,1,3,4,2,6,2,6,2,1,4,5,3,1,2,3,6,3,2,4,6,4,5,6,5,5,4
313,11:58:41 19/12/2016,12:16:42 19/12/2016,1081,4,5,6,2,1,2,3,1,7,1,6,2,2,2,6,2,4,2,5,7,3,5,6,7,3,3,6,3,4,3
302,11:59:14 19/12/2016,12:17:35 19/12/2016,1101,2,5,6,7,1,1,2,3,6,4,6,4,3,6,1,2,6,4,3,6,6,6,4,6,4,1,6,2,4,2
334,11:57:42 19/12/2016,12:18:06 19/12/2016,1224,5,2,6,4,6,1,3,4,5,6,5,4,2,5,2,2,6,3,4,7,3,3,7,6,3,2,5,6,5,3
321,11:58:24 19/12/2016,12:15:59 19/12/2016,1055,1,3,5,5,2,1,4,2,5,2,6,5,5,3,2,4,5,5,2,6,5,6,3,6,6,4,3,1,5,5
312,11:57:36 19/12/2016,12:18:14 19/12/2016,1238,1,1,6,2,1,1,2,2,6,5,6,2,1,2,6,2,6,2,3,7,2,3,4,7,2,4,6,2,6,4
303,11:59:10 19/12/2016,12:17:16 19/12/2016,1086,6,3,5,2,1,1,5,5,6,5,6,5,5,5,6,2,4,2,4,7,6,6,6,6,5,3,4,2,4,2
306,11:58:21 19/12/2016,12:20:21 19/12/2016,1320,2,3,6,3,1,1,3,4,6,4,5,2,1,5,2,1,6,3,5,7,4,5,6,6,4,6,4,2,7,2
335,11:57:59 19/12/2016,12:21:04 19/12/2016,1385,1,2,2,4,6,3,3,2,3,5,5,7,5,5,3,4,7,6,4,2,1,3,4,1,5,3,2,5,3,5
317,11:57:35 19/12/2016,12:20:23 19/12/2016,1368,5,4,6,4,2,1,3,3,5,2,5,1,2,2,4,5,3,2,5,6,6,2,6,7,3,5,6,4,5,3
311,12:04:33 19/12/2016,12:19:47 19/12/2016,914,4,2,7,3,1,1,3,5,6,3,7,5,4,6,4,2,5,1,7,7,5,3,5,7,2,3,5,4,6,2
299,11:58:52 19/12/2016,12:26:45 19/12/2016,1673,3,2,7,5,1,1,3,2,7,5,7,4,1,1,3,4,2,4,3,7,7,1,5,7,2,4,6,7,5,6
305,11:57:37 19/12/2016,12:26:04 19/12/2016,1707,5,2,6,5,4,5,7,2,3,5,4,2,1,2,2,1,5,3,5,5,4,5,5,4,2,4,6,3,4,4
