User Id,Start date,End date,Duration,Q01->1. Les noves idees i nous projectes algunes vegades em distreuen dels anteriors,Q01->2. Els contratemps (endarreriments i obstacles) no em desanimen. Em recupero de les decepcions més ràpid que la majoria de gent,Q01->3. M’obsessiono amb una idea o projecte per un curt període de temps però després perdo l’interès,Q01->4. Sóc molt treballador o treballadora,Q01->5. Algunes vegades em marco un objectiu però després decideixo perseguir-ne un de diferent,Q01->6. Tinc dificultats per mantenir la meva concentració amb projectes que duren uns quants mesos,Q01->7. Acabo tot el que començo,Q01->8. Sóc diligent (molt treballador i curós amb el que faig)
295,08:58:57 19/12/2016,08:59:08 19/12/2016,11,2,2,1,1,1,1,2,1
340,09:05:14 19/12/2016,09:05:25 19/12/2016,11,1,1,1,1,1,1,1,1
324,12:13:31 19/12/2016,12:14:33 19/12/2016,62,1,3,3,5,2,2,4,5
329,12:13:01 19/12/2016,12:14:40 19/12/2016,99,2,4,3,4,4,5,2,2
301,12:12:10 19/12/2016,12:14:50 19/12/2016,160,2,4,3,3,5,3,3,3
297,12:14:36 19/12/2016,12:15:25 19/12/2016,49,1,1,1,4,3,1,3,4
310,12:14:52 19/12/2016,12:15:42 19/12/2016,50,1,5,5,5,5,5,5,5
296,12:14:17 19/12/2016,12:15:48 19/12/2016,91,2,4,3,5,3,4,5,4
304,12:15:16 19/12/2016,12:16:31 19/12/2016,75,2,4,2,5,2,1,5,4
315,12:16:19 19/12/2016,12:17:23 19/12/2016,64,3,3,2,4,5,4,3,3
300,12:16:24 19/12/2016,12:17:29 19/12/2016,65,1,3,3,4,3,1,4,3
327,12:16:09 19/12/2016,12:18:31 19/12/2016,142,3,3,4,3,3,4,2,3
294,12:17:38 19/12/2016,12:18:43 19/12/2016,65,4,2,4,4,3,4,2,4
320,12:17:28 19/12/2016,12:19:21 19/12/2016,113,3,2,4,3,1,3,4,4
336,12:18:12 19/12/2016,12:19:57 19/12/2016,105,2,2,3,4,3,3,4,4
309,12:18:11 19/12/2016,12:20:07 19/12/2016,116,3,1,3,4,3,1,2,3
333,12:18:31 19/12/2016,12:20:21 19/12/2016,110,2,3,2,4,2,3,3,4
307,12:18:52 19/12/2016,12:20:26 19/12/2016,94,4,2,3,3,5,4,3,3
328,12:19:32 19/12/2016,12:20:40 19/12/2016,68,4,3,4,4,3,4,4,4
337,12:18:05 19/12/2016,12:20:40 19/12/2016,155,3,4,2,3,4,2,3,3
314,12:19:18 19/12/2016,12:20:49 19/12/2016,91,1,2,2,3,3,3,2,4
323,12:20:13 19/12/2016,12:21:18 19/12/2016,65,3,4,3,5,2,3,1,3
342,12:22:31 19/12/2016,12:23:57 19/12/2016,86,2,4,2,4,1,1,5,3
326,12:21:50 19/12/2016,12:24:01 19/12/2016,131,3,2,3,2,4,3,4,2
293,12:22:13 19/12/2016,12:24:13 19/12/2016,120,3,5,1,4,1,3,4,5
291,12:22:32 19/12/2016,12:24:14 19/12/2016,102,3,3,4,4,3,3,4,4
321,12:23:45 19/12/2016,12:24:51 19/12/2016,66,4,3,4,3,3,4,3,1
298,12:24:45 19/12/2016,12:25:47 19/12/2016,62,2,3,3,5,3,2,3,5
313,12:25:03 19/12/2016,12:26:50 19/12/2016,107,2,3,3,4,2,2,4,4
339,12:25:06 19/12/2016,12:27:22 19/12/2016,136,4,4,2,3,3,2,3,3
318,12:25:40 19/12/2016,12:27:43 19/12/2016,123,3,3,2,2,2,4,4,3
330,12:25:40 19/12/2016,12:27:54 19/12/2016,134,3,5,2,2,1,2,4,3
302,12:26:33 19/12/2016,12:28:29 19/12/2016,116,3,2,3,4,4,5,4,4
303,12:26:54 19/12/2016,12:28:36 19/12/2016,102,3,2,4,4,3,4,3,3
334,12:28:06 19/12/2016,12:30:27 19/12/2016,141,3,2,2,4,2,3,4,5
341,12:29:31 19/12/2016,12:30:53 19/12/2016,82,2,4,3,3,3,4,3,3
317,12:29:23 19/12/2016,12:31:26 19/12/2016,123,3,3,2,4,3,4,4,4
306,12:29:43 19/12/2016,12:31:48 19/12/2016,125,3,2,4,2,3,4,2,2
335,12:27:41 19/12/2016,12:32:39 19/12/2016,298,3,2,3,3,3,4,2,2
312,12:31:03 19/12/2016,12:33:34 19/12/2016,151,3,5,2,4,3,4,3,3
299,12:33:00 19/12/2016,12:34:25 19/12/2016,85,2,3,4,5,1,4,4,3
305,12:32:56 19/12/2016,12:35:08 19/12/2016,132,2,4,3,3,3,2,2,4
311,12:34:07 19/12/2016,12:35:25 19/12/2016,78,3,4,4,4,4,3,4,4
