User Id,Start date,End date,Duration,Q01->Com de sovint ajuda altres companys?,Q01->Com de sovint consola altres companys?,Q01->Com de sovint pega altres companys?,Q01->Com de sovint insulta altres companys?,Q02,Q03->Com de sovint ajuda altres companys?,Q03->Com de sovint consola altres companys?,Q03->Com de sovint pega altres companys?,Q03->Com de sovint insulta altres companys?,Q04,Q05->Com de sovint ajuda altres companys?,Q05->Com de sovint consola altres companys?,Q05->Com de sovint pega altres companys?,Q05->Com de sovint insulta altres companys?,Q06,Q07->Com de sovint ajuda altres companys?,Q07->Com de sovint consola altres companys?,Q07->Com de sovint pega altres companys?,Q07->Com de sovint insulta altres companys?,Q08,Q09->Com de sovint ajuda altres companys?,Q09->Com de sovint consola altres companys?,Q09->Com de sovint pega altres companys?,Q09->Com de sovint insulta altres companys?,Q10
344,11:44:45 19/12/2016,11:45:52 19/12/2016,67,1,1,1,2,367,1,1,1,1,349,1,1,2,1,355,1,1,1,2,369,1,2,1,1,348
447,08:58:36 20/12/2016,09:02:23 20/12/2016,227,3,3,2,2,439,4,2,2,2,449,3,1,1,1,430,4,2,4,4,444,4,3,2,2,445
378,08:59:38 20/12/2016,09:03:32 20/12/2016,234,3,2,4,2,379,4,4,2,2,389,3,2,1,3,380,2,2,4,3,386,4,4,1,3,382
478,09:01:14 20/12/2016,09:04:41 20/12/2016,207,3,3,1,2,483,3,3,1,2,452,2,3,1,1,479,5,4,1,2,470,2,2,1,1,453
482,09:01:40 20/12/2016,09:05:06 20/12/2016,206,2,2,1,1,462,4,4,2,5,473,3,2,2,2,475,2,2,1,1,467,5,5,1,1,466
475,09:01:27 20/12/2016,09:07:50 20/12/2016,383,5,3,1,1,464,1,1,4,5,474,2,2,4,4,480,5,5,1,1,457,4,4,1,1,455
383,09:03:32 20/12/2016,09:06:56 20/12/2016,204,4,5,1,2,378,3,3,3,3,381,3,3,2,2,386,4,4,2,2,389,4,4,1,2,375
391,09:03:17 20/12/2016,09:07:27 20/12/2016,250,4,3,1,1,386,5,5,1,1,378,4,2,1,2,392,1,1,1,1,376,4,5,1,2,388
358,09:02:25 20/12/2016,09:07:52 20/12/2016,327,4,4,1,1,345,3,3,1,3,366,2,2,2,3,350,5,5,1,1,361,1,1,3,4,372
410,09:04:25 20/12/2016,09:08:14 20/12/2016,229,4,5,1,2,415,2,2,2,3,417,2,1,4,5,405,3,3,4,4,400,4,4,3,3,414
373,09:03:39 20/12/2016,09:08:23 20/12/2016,284,4,3,1,1,383,5,4,1,1,384,4,2,1,1,385,4,5,1,1,375,3,2,1,1,376
393,09:12:00 20/12/2016,09:11:25 20/12/2016,-35,3,2,1,1,384,4,3,1,1,376,3,2,1,1,374,3,2,1,1,378,3,2,1,1,373
407,09:05:51 20/12/2016,09:10:31 20/12/2016,280,4,4,1,1,418,3,3,1,1,406,3,2,1,1,408,4,4,2,2,416,3,2,1,2,402
417,09:04:52 20/12/2016,09:09:10 20/12/2016,258,3,2,2,3,414,4,3,2,3,420,5,5,1,1,397,3,3,1,2,402,3,3,1,3,394
387,09:05:31 20/12/2016,09:09:27 20/12/2016,236,2,2,1,1,376,4,4,2,2,390,3,4,3,2,374,3,3,2,3,377,4,4,2,3,389
418,09:06:20 20/12/2016,09:09:28 20/12/2016,188,2,2,2,3,414,4,4,1,1,419,4,4,1,1,403,2,2,3,3,401,3,4,1,1,395
416,09:06:53 20/12/2016,09:10:00 20/12/2016,187,3,4,1,3,406,3,2,1,2,402,4,3,1,1,408,2,1,5,5,405,4,3,1,2,395
404,09:06:56 20/12/2016,09:10:48 20/12/2016,232,2,2,1,3,407,4,4,1,1,408,5,4,1,1,399,3,2,2,3,418,5,5,1,1,410
376,09:07:37 20/12/2016,09:11:08 20/12/2016,211,2,1,1,1,380,3,1,1,1,384,3,2,1,1,383,2,1,1,1,374,3,3,1,1,393
442,09:07:12 20/12/2016,09:11:41 20/12/2016,269,3,3,4,2,428,3,3,1,1,447,5,5,2,2,427,4,3,1,1,438,4,4,2,2,445
363,09:07:55 20/12/2016,09:12:02 20/12/2016,247,4,5,1,3,345,4,5,1,3,346,4,5,1,3,358,4,5,1,3,357,4,5,1,3,348
450,09:08:23 20/12/2016,09:11:20 20/12/2016,177,4,3,1,1,434,2,1,1,1,433,5,4,1,1,451,5,3,1,1,422,3,2,1,1,427
406,09:07:14 20/12/2016,09:12:00 20/12/2016,286,4,3,3,3,412,5,3,1,2,408,4,4,5,4,396,4,3,2,3,402,3,3,4,4,414
355,09:07:52 20/12/2016,09:12:03 20/12/2016,251,3,3,2,2,372,4,3,1,2,366,5,3,1,1,371,4,3,1,1,348,5,3,1,1,360
401,09:08:46 20/12/2016,09:11:52 20/12/2016,186,3,3,2,2,416,3,3,3,3,420,2,2,1,1,409,2,2,3,3,411,2,2,1,1,415
476,09:09:15 20/12/2016,09:12:31 20/12/2016,196,3,3,1,3,470,4,3,1,2,469,5,4,1,1,462,2,2,1,1,467,3,4,1,2,458
448,09:09:15 20/12/2016,09:12:45 20/12/2016,210,2,3,4,4,431,5,4,1,2,438,4,4,1,2,435,4,4,3,4,428,3,3,1,1,436
444,09:08:55 20/12/2016,09:14:14 20/12/2016,319,3,4,1,2,430,3,3,4,4,448,5,3,2,1,441,4,5,1,1,423,2,2,1,1,438
399,09:09:09 20/12/2016,09:13:31 20/12/2016,262,2,3,2,2,412,4,3,2,2,414,5,4,1,2,408,5,4,1,3,418,3,2,1,1,406
394,09:09:15 20/12/2016,09:14:10 20/12/2016,295,3,2,1,3,402,3,3,1,1,395,3,2,4,4,414,2,2,3,2,401,2,1,5,5,405
374,09:08:21 20/12/2016,09:15:00 20/12/2016,399,4,5,2,2,376,4,4,1,2,390,5,2,3,2,384,4,3,1,1,378,3,4,1,1,382
360,09:10:23 20/12/2016,09:14:11 20/12/2016,228,3,4,1,2,366,4,4,1,3,355,5,5,1,1,354,3,4,1,2,359,4,5,1,1,345
371,09:10:26 20/12/2016,09:14:48 20/12/2016,262,5,4,1,2,345,4,4,3,4,364,4,4,1,3,368,5,4,1,1,357,4,4,1,4,355
456,09:09:51 20/12/2016,09:15:55 20/12/2016,364,2,3,1,3,480,3,4,1,3,482,3,3,2,2,463,2,4,1,3,466,4,4,1,3,483
409,09:09:40 20/12/2016,09:14:47 20/12/2016,307,3,3,1,2,402,4,4,1,2,395,3,2,2,2,401,2,2,4,4,400,5,5,1,1,398
396,09:09:11 20/12/2016,09:15:24 20/12/2016,373,3,4,1,1,403,5,4,2,2,413,3,2,2,2,411,4,3,1,1,408,4,2,2,5,400
479,09:10:02 20/12/2016,09:17:03 20/12/2016,421,4,4,2,1,465,4,4,2,2,478,4,3,2,3,455,3,4,2,3,482,3,3,2,3,460
445,09:10:03 20/12/2016,09:15:04 20/12/2016,301,4,2,1,1,450,3,2,1,1,422,2,3,2,2,434,2,2,2,2,447,4,3,3,3,425
443,09:11:48 20/12/2016,09:15:43 20/12/2016,235,2,3,1,1,446,4,4,1,3,423,5,5,1,1,437,5,5,1,2,444,2,1,4,3,433
480,09:11:14 20/12/2016,09:16:36 20/12/2016,322,3,4,2,2,455,1,1,4,4,472,4,4,3,3,478,2,2,1,2,454,3,3,5,4,468
474,09:13:18 20/12/2016,09:19:09 20/12/2016,351,3,4,3,2,453,3,3,1,2,454,3,4,1,2,459,4,3,1,2,463,3,2,1,2,478
349,09:14:46 20/12/2016,09:19:01 20/12/2016,255,2,2,2,3,370,4,4,1,2,357,4,4,1,2,346,5,4,1,1,367,5,4,1,1,356
402,09:14:46 20/12/2016,09:19:31 20/12/2016,285,3,2,1,2,415,2,2,3,3,414,3,3,2,2,395,1,1,4,4,405,4,3,1,1,404
384,09:15:02 20/12/2016,09:19:15 20/12/2016,253,5,5,1,1,375,2,3,1,1,376,3,3,2,2,381,4,5,1,1,391,4,4,1,2,382
381,09:14:38 20/12/2016,09:19:22 20/12/2016,284,5,5,1,1,384,3,3,1,1,373,5,5,1,1,392,5,5,1,1,385,4,4,1,1,375
397,09:16:02 20/12/2016,09:19:17 20/12/2016,195,4,3,1,2,402,4,4,1,1,408,5,4,1,1,413,4,4,1,1,419,4,3,4,4,420
365,09:16:41 20/12/2016,09:20:35 20/12/2016,234,2,2,1,1,346,2,2,1,1,367,3,3,1,1,371,2,2,1,1,351,3,3,1,1,369
449,09:18:04 20/12/2016,09:27:46 20/12/2016,582,2,4,3,2,438,2,3,4,2,435,1,1,1,1,448,2,3,4,2,426,1,2,1,1,447
389,09:19:49 20/12/2016,09:24:23 20/12/2016,274,2,2,1,3,377,5,3,1,2,390,4,2,2,2,386,2,2,1,3,391,5,4,1,1,387
403,09:27:25 20/12/2016,09:33:50 20/12/2016,385,5,4,1,1,397,3,2,3,4,420,5,4,4,3,404,5,3,1,2,413,3,2,3,4,420
481,09:27:40 20/12/2016,09:33:22 20/12/2016,342,4,3,1,3,477,2,3,2,3,466,1,1,3,4,468,2,2,4,5,473,2,3,1,4,470
483,09:27:28 20/12/2016,09:33:21 20/12/2016,353,2,3,3,2,473,4,4,2,1,464,5,5,1,1,482,3,3,3,3,452,4,3,1,1,454
385,09:39:48 20/12/2016,09:43:06 20/12/2016,198,3,2,1,2,380,3,2,2,2,391,4,3,1,1,387,4,3,1,1,375,3,3,1,1,382
